ID,COURSEOVERGROUND,EVENTCERTAINTY,LATITUDE,LONGITUDE,POSITIONINTERPOLATED,SPEEDOVERGROUND,VESSEL_ID,Timestamp
1,299.5,3,57.70412666666667,11.941128333333333,False,9.399999618530273,1,1398302495.062
2,355.8999938964844,3,57.70427040925793,11.940961995171499,True,0.0,1,1398302505.062
3,312.0,3,57.71236833333333,11.693741666666664,False,9.399999618530273,2,1398302723.468
4,96.0,3,57.7132611183638,11.691197815491734,True,0.6000000238418579,2,1398302779.692
5,43.599998474121094,3,57.65896833333333,11.831153333333333,False,11.199999809265137,5,1398302820.494
6,38.900001525878906,2,57.65665666666666,11.827345,False,11.300000190734865,5,1398302760.408
7,43.29999923706055,2,57.65786,11.829244999999998,False,11.199999809265137,5,1398302791.778
8,44.79999923706055,3,57.659411666666664,11.831963333333334,False,11.199999809265137,5,1398302832.706
9,259.29998779296875,3,55.088375,8.566210000000002,False,1.7000000476837158,5,1398302850.894
10,305.79998779296875,2,55.08805333333333,8.567929999999999,False,1.7000000476837158,5,1398302701.696
11,293.0,2,55.088335,8.567076666666667,False,1.2000000476837158,3,1398302781.748
12,36.29999923706055,3,57.66012166666667,11.833213333333333,False,10.800000190734863,3,1398302851.8
13,244.1000061035156,3,55.08829,8.565891666666666,False,1.2999999523162842,3,1398302878.898
14,82.4000015258789,3,57.662819999999996,11.838428333333333,False,8.899999618530273,3,1398302931.102
15,38.900001525878906,2,57.65665666666666,11.827345,False,11.300000190734865,3,1398302760.408
16,43.29999923706055,2,57.65786,11.829244999999998,False,11.199999809265137,3,1398302791.778
17,43.599998474121094,1,57.65896833333333,11.831153333333333,False,11.199999809265137,11,1398302820.494
18,44.79999923706055,2,57.659411666666664,11.831963333333334,False,11.199999809265137,11,1398302832.706
19,36.29999923706055,2,57.66012166666667,11.833213333333333,False,10.800000190734863,12,1398302851.8
20,82.4000015258789,3,57.662819999999996,11.838428333333333,False,8.899999618530273,12,1398302931.102
21,282.70001220703125,3,54.73079,8.689683333333333,False,1.2999999523162842,13,1398302973.308
22,318.6000061035156,2,54.73081166666667,8.689898333333334,False,1.2999999523162842,13,1398302723.25
23,138.60000610351562,2,54.73077166666667,8.689901666666666,False,0.4000000059604645,16,1398302951.222
24,282.70001220703125,3,54.73079,8.689683333333333,False,1.2999999523162842,16,1398302973.308
25,318.6000061035156,2,54.73081166666667,8.689898333333334,False,1.2999999523162842,16,1398302723.25
26,138.60000610351562,2,54.73077166666667,8.689901666666666,False,0.4000000059604645,16,1398302951.222
27,87.5,3,55.08808666666666,8.566351666666666,False,1.0,16,1398303001.684
28,126.9000015258789,3,56.979775,8.920285,False,6.199999809265138,16,1398303023.3
29,126.0,2,56.980465,8.918611666666667,False,5.400000095367432,16,1398302982.682
30,125.9000015258789,2,56.980135,8.919426666666668,False,5.9000000953674325,16,1398303002.462
31,126.9000015258789,3,56.979775,8.920285,False,6.199999809265138,16,1398303023.3
32,126.0,2,56.980465,8.918611666666667,False,5.400000095367432,16,1398302982.682
33,125.9000015258789,2,56.980135,8.919426666666668,False,5.9000000953674325,16,1398303002.462
34,126.9000015258789,3,56.979775,8.920285,False,6.199999809265138,16,1398303023.3
35,126.0,2,56.980465,8.918611666666667,False,5.400000095367432,16,1398302982.682
36,125.9000015258789,2,56.980135,8.919426666666668,False,5.9000000953674325,16,1398303002.462
37,276.5,3,54.56720833333333,11.694223333333333,False,10.899999618530273,16,1398303008.724
38,144.8000030517578,3,54.56684333333333,11.69335,False,0.8999999761581421,16,1398303056.348
39,138.0,3,56.97870833333333,8.922500000000003,False,6.5999999046325675,16,1398303075.534
40,138.0,3,56.97870833333333,8.922500000000003,False,6.5999999046325675,16,1398303075.534
41,138.0,3,56.97870833333333,8.922500000000003,False,6.5999999046325675,16,1398303075.534
42,96.9000015258789,3,57.70303166666667,11.946451666666665,False,9.0,16,1398302804.982
43,347.1000061035156,3,57.70303076077438,11.946659055607293,True,0.10000000149011612,16,1398302814.982
44,155.8000030517578,3,56.97799666666666,8.923096666666668,False,7.0,16,1398303099.146
45,155.8000030517578,3,56.97799666666666,8.923096666666668,False,7.0,16,1398303099.146
46,155.8000030517578,3,56.97799666666666,8.923096666666668,False,7.0,16,1398303099.146
47,185.6999969482422,3,57.651315000000004,11.808433333333333,False,10.0,16,1398303008.194
48,176.5,3,57.64981465974408,11.80774850572387,True,0.10000000149011612,16,1398303058.656
49,185.3999938964844,3,56.976344999999995,8.923309999999997,False,7.0999999046325675,16,1398303149.888
50,185.3999938964844,3,56.976344999999995,8.923309999999997,False,7.0999999046325675,16,1398303149.888
51,185.3999938964844,3,56.976344999999995,8.923309999999997,False,7.0999999046325675,16,1398303149.888
52,121.0,3,54.730765000000005,8.689865,False,0.8999999761581421,16,1398303202.278
53,121.0,3,54.730765000000005,8.689865,False,0.8999999761581421,16,1398303202.278
54,223.8000030517578,3,55.07147333333333,8.561291666666667,False,20.700000762939453,16,1398303205.144
55,357.6000061035156,1,55.08674499999999,8.56827,False,4.699999809265137,16,1398302777.072
56,202.5,1,55.08449333333333,8.573623333333334,False,9.800000190734863,16,1398302977.11
57,203.8999938964844,1,55.08354166666666,8.572849999999999,False,11.399999618530273,17,1398302999.004
58,201.5,1,55.08052833333333,8.570723333333332,False,12.300000190734865,17,1398303060.336
59,199.6999969482422,2,55.07703666666666,8.56847,False,15.600000381469727,17,1398303120.358
60,208.1999969482422,2,55.07533666666666,8.567089999999999,False,16.399999618530273,17,1398303145.152
