,CenterLatitude,CenterLongitude
265,57.67685,11.80725
266,57.67715,11.80725
267,55.06055,8.44375
268,57.67765,11.81075
269,57.67785,11.81075
270,57.67825,11.81075
271,57.69025,11.83175
272,57.67865,11.81425
273,57.67875,11.81425
274,54.34745,9.91025
275,54.34765,9.91025
276,57.67905,11.81775
277,57.70955,10.64875
278,57.67925,11.81775
279,57.70965,10.64875
280,55.05895,8.46125
281,57.67955,11.82125
282,55.05885,8.46475
283,57.67975,11.82125
284,54.34865,9.90675
285,57.67995,11.82125
286,54.34885,9.90675
287,57.68015,11.82125
288,57.71005,10.64525
289,57.69015,11.83175
290,54.34895,9.90325
291,54.34915,9.90325
292,57.68035,11.82475
293,57.71015,10.64175
294,54.34935,9.90325
295,57.68055,11.82475
296,54.34955,9.90325
297,57.69005,11.83525
298,54.34965,9.90325
299,57.68075,11.82475
300,57.71035,10.64175
301,54.34985,9.90325
302,57.68995,11.83525
303,57.68095,11.82825
304,57.68105,11.82825
305,57.71055,10.63825
306,54.35045,9.89975
307,57.68125,11.82825
308,57.71065,10.63825
309,57.68985,11.83525
310,54.35085,9.89975
311,57.71085,10.63475
312,57.68975,11.83525
313,54.35105,9.89975
314,57.68145,11.83175
315,54.35125,9.89625
316,57.68965,11.83875
317,55.05505,8.49625
318,54.35145,9.89625
319,57.68165,11.83175
320,54.35165,9.89625
321,57.71105,10.63475
322,57.68945,11.83875
323,57.68185,11.83175
324,57.71125,10.63125
325,57.68925,11.83875
326,54.35215,9.89625
327,57.68205,11.83525
328,57.68915,11.83875
329,54.35235,9.89275
330,57.68895,11.84225
331,57.71135,10.63125
332,54.35255,9.89275
333,57.68215,11.83525
334,54.35275,9.89275
335,57.68875,11.84225
336,57.71145,10.62775
337,55.05425,8.50675
338,54.35295,9.89275
339,54.35305,9.89275
340,57.68225,11.83525
341,57.68855,11.84225
342,57.68235,11.83525
343,55.56375,13.07075
344,57.68835,11.84225
345,55.56365,13.07075
346,57.68815,11.84225
347,57.68255,11.83875
348,57.68785,11.84225
349,57.68755,11.84225
350,57.68275,11.83875
351,55.05455,8.51375
352,57.68725,11.84225
353,57.68285,11.84225
354,57.68705,11.84225
355,54.35465,9.88575
356,55.05475,8.51375
357,57.68675,11.84575
358,57.68645,11.84575
359,57.68305,11.84225
360,55.05505,8.51725
361,57.68615,11.84575
362,55.05525,8.51725
363,57.68325,11.84575
364,57.68595,11.84575
365,56.05785,12.64375
366,55.05555,8.52075
367,55.97245,11.02675
368,54.36795,10.17625
369,56.05775,12.64375
370,54.35655,9.88225
371,54.36805,10.17625
372,55.97335,11.02675
373,55.08755,8.56625
374,54.35685,9.87875
375,56.05775,12.64025
376,55.97435,11.03025
377,54.35735,9.87875
378,56.05775,12.63675
379,54.49865,10.29525
380,56.97685,8.92325
381,54.35765,9.87875
382,55.05715,8.52775
383,56.05765,12.63675
384,54.36855,10.17975
385,55.97555,11.03025
386,56.05765,12.63325
387,54.49775,10.29175
388,55.97615,11.03025
389,56.05755,12.63325
390,56.97855,8.92325
