COURSEOVERGROUND,EVENTCERTAINTY,LATITUDE,LONGITUDE,POSITIONINTERPOLATED,SPEEDOVERGROUND,VESSEL_ID,Timestamp,DelSpeed,DelHeading,DelTime
143.0,2,55.76803,10.81442667,False,17.0,6,1398308697,9.099999905,-22.1000061,7
143.0,2,55.76803,10.81442667,False,17.0,6,1398308697,0.0,0.0,0
319.2999878,3,54.73079167,8.689781667,False,0.300000012,6,1398308701,-16.699999988,176.2999878,4
319.2999878,3,54.73079167,8.689781667,False,0.300000012,6,1398308701,0.0,0.0,0
139.5,2,55.76722667,10.815375,False,17.70000076,6,1398308709,17.400000748,-179.7999878,8
139.5,2,55.76722667,10.815375,False,17.70000076,6,1398308709,0.0,0.0,0
140.3000031,2,55.766455,10.816345,False,17.10000038,6,1398308721,-0.60000038,0.8000031,12
140.3000031,2,55.766455,10.816345,False,17.10000038,6,1398308721,0.0,0.0,0
147.6000061,2,55.76562,10.81734833,False,16.39999962,6,1398308733,-0.70000076,7.300003,12
147.6000061,2,55.76562,10.81734833,False,16.39999962,6,1398308733,0.0,0.0,0
109.4000015,3,54.52874333,11.25067333,False,2.599999905,6,1398308736,-13.799999715,-38.2000046,3
109.4000015,3,54.52874333,11.25067333,False,2.599999905,6,1398308736,0.0,0.0,0
22.39999962,3,54.615985,11.31262333,False,8.0,6,1398308737,5.400000095,-87.00000188,1
236.0,3,54.49019167,10.27830833,False,1.600000024,6,1398308762,-6.399999976,213.60000038,25
24.39999962,2,54.617625,11.31383333,False,8.0,6,1398308785,6.399999976,-211.60000038,23
247.6999969,3,54.49002333,10.27761333,False,1.399999976,6,1398308822,-6.600000024,223.29999728,37
195.8000031,3,55.618615,7.601516667,False,11.60000038,6,1398308843,10.200000404,-51.8999938,21
23.10000038,2,54.61967,11.31535667,False,8.0,6,1398308845,-3.60000038,-172.70000272,2
123.4000015,3,54.528115,11.25246,False,2.5,6,1398308847,-5.5,100.30000112,2
123.4000015,3,54.528115,11.25246,False,2.5,6,1398308847,0.0,0.0,0
357.3999939,3,55.08652167,8.568541667,False,0.899999976,6,1398308850,-1.600000024,233.9999924,3
127.3000031,3,56.980475,8.918628333,False,5.199999809,6,1398308873,4.299999833,-230.0999908,23
127.3000031,3,56.980475,8.918628333,False,5.199999809,6,1398308873,0.0,0.0,0
283.2000122,3,55.61850833,7.60108,False,0.600000024,6,1398308878,-4.599999785,155.9000091,5
131.1000061,3,56.98010833,8.91938,False,5.800000191,6,1398308893,5.200000167,-152.1000061,15
131.1000061,3,56.98010833,8.91938,False,5.800000191,6,1398308893,0.0,0.0,0
23.0,3,54.62137167,11.3166,False,8.0,6,1398308895,2.199999809,-108.1000061,2
23.0,3,54.62205,11.3171,False,8.0,6,1398308915,0.0,0.0,20
333.5,0,56.03309333,12.61722167,False,0.0,7,1398308589,0.0,0.0,0
320.7000122,0,56.03309167,12.617225,False,0.0,7,1398308607,0.0,-12.7999878,18
92.69999695,0,56.03309167,12.617225,False,0.0,7,1398308617,0.0,-228.00001525,10
152.8999939,0,56.03308833,12.61722833,False,0.0,7,1398308628,0.0,60.19999695,11
0.0,0,56.03309,12.61722833,False,0.0,7,1398308649,0.0,-152.8999939,21
137.3999939,0,56.03308833,12.617235,False,0.0,7,1398308666,0.0,137.3999939,17
167.1000061,0,56.03308833,12.61723333,False,0.0,7,1398308677,0.0,29.7000122,11
138.8999939,0,56.0330878,12.6172344,True,0.0,7,1398308687,0.0,-28.2000122,10
138.8999939,0,56.03308727,12.61723547,True,0.0,7,1398308697,0.0,0.0,10
138.8999939,0,56.03308673,12.61723653,True,0.0,7,1398308707,0.0,0.0,10
138.8999939,0,56.03308667,12.61723667,False,0.0,7,1398308709,0.0,0.0,2
117.4000015,0,56.03308833,12.61723333,False,0.0,7,1398308727,0.0,-21.4999924,18
305.6000061,0,56.03309,12.61723,False,0.0,7,1398308737,0.0,188.2000046,10
